id,study,subgroup,outcome,n,mean,sd,min,q1,median,q3,max
12,"Bi et al., 2018",PLT,instrumented_laxity,62,1.85,0.77,,,,,
13,"Björnsson et al., 2016",BPTB,ikdc,61,67.30,20.80,,,,,
13,"Björnsson et al., 2016",BPTB,tegner,61,4.10,1.70,,,,,
13,"Björnsson et al., 2016",BPTB,lysholm,61,79.40,16.90,,,,,
13,"Björnsson et al., 2016",HT,ikdc,86,74.00,18.80,,,,,
13,"Björnsson et al., 2016",HT,tegner,86,4.00,1.70,,,,,
13,"Björnsson et al., 2016",HT,lysholm,86,80.70,15.30,,,,,
14,"Bottoni et al., 2015",HT,ikdc,44,79.50,24.70,,,,,
14,"Bottoni et al., 2015",HT,tegner,44,5.10,2.20,,,,,
14,"Bottoni et al., 2015",TA,ikdc,36,81.10,23.10,,,,,
14,"Bottoni et al., 2015",TA,tegner,36,5.10,2.00,,,,,
18,"Butt et al., 2024",HT,lysholm,30,95.10,5.20,,,,,
18,"Butt et al., 2024",HT,ikdc,30,89.70,5.70,,,,,
18,"Butt et al., 2024",PLT,lysholm,30,94.50,6.40,,,,,
18,"Butt et al., 2024",PLT,ikdc,30,89.90,9.80,,,,,
19,"Calvert et al., 2025",HT,ikdc,92,92.00,8.00,,,,,
19,"Calvert et al., 2025",HT,lysholm,92,94.00,7.00,,,,,
19,"Calvert et al., 2025",QT,ikdc,89,89.00,10.00,,,,,
19,"Calvert et al., 2025",QT,lysholm,89,93.00,8.00,,,,,
23,"Ejerhed et al., 2003",BPTB,tegner,32,5.77,1.94,1,,6,,9
23,"Ejerhed et al., 2003",BPTB,lysholm,32,89.96,13.06,46,,95,,100
23,"Ejerhed et al., 2003",BPTB,instrumented_laxity,32,2.29,3.99,-5,,2,,11.5
23,"Ejerhed et al., 2003",HT,tegner,34,6.39,1.43,3,,6.5,,9
23,"Ejerhed et al., 2003",HT,lysholm,34,86.79,11.71,51,,90,,100
23,"Ejerhed et al., 2003",HT,instrumented_laxity,34,2.47,3.47,-4,,2.25,,10.5
25,"Eriksson et al., 2001",BPTB,instrumented_laxity,42,0.95,0.91,,,,,
25,"Eriksson et al., 2001",HT,instrumented_laxity,47,1.10,0.95,,,,,
26,"Feller & Webster, 2003",BPTB,instrumented_laxity,27,0.50,1.00,,,,,
26,"Feller & Webster, 2003",HT,instrumented_laxity,21,1.10,1.20,,,,,
30,"Gifstad et al., 2013",BPTB,instrumented_laxity,41,1.40,1.80,,,,,
30,"Gifstad et al., 2013",HT,instrumented_laxity,36,1.40,1.40,,,,,
32,"Guglielmetti et al., 2021",BPTB,ikdc,31,88.75,9.27,,,,,
32,"Guglielmetti et al., 2021",BPTB,lysholm,31,89.87,9.17,,,,,
32,"Guglielmetti et al., 2021",HT,ikdc,31,91.00,9.07,,,,,
32,"Guglielmetti et al., 2021",HT,lysholm,31,91.26,9.36,,,,,
33,"Harilainen et al., 2006",BPTB,tegner,37,5.89,2.12,1,,6,,10
,"Harilainen et al., 2006",BPTB,lysholm,37,89.11,15.53,34,,95,,100
33,"Harilainen et al., 2006",BPTB,instrumented_laxity,37,1.50,3.00,,,,,
,"Harilainen et al., 2006",HT,lysholm,37,95.00,15.53,34,,95,,100
33,"Harilainen et al., 2006",HT,tegner,37,6.00,1.41,3,,6,,9
33,"Harilainen et al., 2006",HT,instrumented_laxity,37,1.20,3.90,,,,,
34,"Heijne & Werner, 2010",BPTB,tegner,30,6.64,2.21,1,,7,,10
34,"Heijne & Werner, 2010",HT,tegner,29,5.00,1.48,2,,5,,8
35,"Holm et al., 2010",BPTB,instrumented_laxity,28,3.00,3.20,,,,,
35,"Holm et al., 2010",BPTB,lysholm,28,84.20,15.40,,,,,
35,"Holm et al., 2010",HT,instrumented_laxity,29,2.00,3.50,,,,,
35,"Holm et al., 2010",HT,lysholm,29,86.10,15.10,,,,,
36,"Horstmann et al., 2022",HT,ikdc,26,83.70,12.70,,,,,
36,"Horstmann et al., 2022",HT,lysholm,26,83.50,17.40,,,,,
36,"Horstmann et al., 2022",HT,instrumented_laxity,26,0.20,2.20,,,,,
36,"Horstmann et al., 2022",QT,ikdc,23,89.30,12.20,,,,,
36,"Horstmann et al., 2022",QT,lysholm,23,90.40,11.90,,,,,
36,"Horstmann et al., 2022",QT,instrumented_laxity,23,0.70,1.10,,,,,
37,"Ibrahim et al., 2005",BPTB,lysholm,40,91.60,3.94,79,,,,96
37,"Ibrahim et al., 2005",HT,lysholm,46,92.70,3.62,81,,,,97
38,"Iliopoulos et al., 2017",BPTB,ikdc,45,83.20,2.80,,,,,
38,"Iliopoulos et al., 2017",BPTB,lysholm,45,95.80,2.40,,,,,
38,"Iliopoulos et al., 2017",HT,ikdc,45,82.78,2.80,,,,,
38,"Iliopoulos et al., 2017",HT,lysholm,45,94.00,3.60,,,,,
41,"Jansson et al., 2003",BPTB,instrumented_laxity,43,1.70,2.63,-3.7,,,,7.8
41,"Jansson et al., 2003",BPTB,tegner,43,5.98,1.60,2,,6.1,,9
41,"Jansson et al., 2003",HT,instrumented_laxity,46,1.20,2.65,-4.3,,,,7.4
41,"Jansson et al., 2003",HT,tegner,46,5.82,2.26,0,,6,,10
43,"Kautzner et al., 2015",BPTB,lysholm,74,88.00,7.50,,,,,
43,"Kautzner et al., 2015",BPTB,instrumented_laxity,74,0.60,0.21,0,,,,1
43,"Kautzner et al., 2015",HT,lysholm,73,90.00,7.60,,,,,
43,"Kautzner et al., 2015",HT,instrumented_laxity,73,0.50,0.42,0,,,,2
44,"Komzak et al., 2022",BPTB,ikdc,36,74.20,10.20,,,,,
44,"Komzak et al., 2022",BPTB,lysholm,36,93.40,9.60,,,,,
44,"Komzak et al., 2022",QT,ikdc,36,78.30,10.50,,,,,
44,"Komzak et al., 2022",QT,lysholm,36,90.10,6.70,,,,,
