,,,,,,,,,,,,,,,,,,,,
,,DONE,478,,,Set Lachman and pivot shift at 1+,,,,,,,,,,,,,,
,,TODO,17,,,https://plotdigitizer.com/app,,,,,,,,,,,,,,
,,% COMPLETED,96.57%,,,,,,,,,,,,,,,,,
,id,,study,download,view,screening,subgroup,data_type,outcome,ni,xi,sdi,a,q1,m,q3,b,yi,sei,
39,9,☑,"Barenius et al., 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barenius_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barenius_2010.pdf,Included,hamstring,continuous,lysholm,75,86.42,12.53,40,,89,,100,,,
,9,☑,"Barenius et al., 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barenius_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barenius_2010.pdf,Excluded,hamstring,dichotomous,lachman,,,,,,,,,,,
,9,☑,"Barenius et al., 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barenius_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barenius_2010.pdf,Excluded,hamstring,dichotomous,pivot shift,,,,,,,,,,,
,9,☑,"Barenius et al., 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barenius_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barenius_2010.pdf,Excluded,hamstring,continuous,instrumental laxity,,,,,,,,,,,
43,10,☑,"Barié et al., 2020",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barié_2020.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barié_2020.pdf,Included,patellar,continuous,ikdc,43,91.00,7.30,,,,,,,,
44,10,☑,"Barié et al., 2020",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barié_2020.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barié_2020.pdf,Included,patellar,continuous,lysholm,43,95.20,6.60,,,,,,,,
45,10,☑,"Barié et al., 2020",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barié_2020.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barié_2020.pdf,Included,patellar,continuous,tegner,43,6.10,1.14,4,,6,,9,,,
46,10,☑,"Barié et al., 2020",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barié_2020.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barié_2020.pdf,Included,patellar,continuous,instrumental laxity,43,1.05,1.36,,,,,,,,
47,10,☑,"Barié et al., 2020",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barié_2020.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barié_2020.pdf,Included,quadriceps,continuous,ikdc,43,92.00,11.50,,,,,,,,
48,10,☑,"Barié et al., 2020",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barié_2020.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barié_2020.pdf,Included,quadriceps,continuous,lysholm,43,95.60,7.80,,,,,,,,
49,10,☑,"Barié et al., 2020",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barié_2020.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barié_2020.pdf,Included,quadriceps,continuous,tegner,43,6.10,1.14,4,,6,,9,,,
50,10,☑,"Barié et al., 2020",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barié_2020.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barié_2020.pdf,Included,quadriceps,continuous,instrumental laxity,43,1.00,1.10,,,,,,,,
,11,☑,"Beynnon et al., 2002",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/beynnon_2002.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/beynnon_2002.pdf,Excluded,patellar,continuous,ikdc,,,,,,,,,,,
,11,☑,"Beynnon et al., 2002",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/beynnon_2002.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/beynnon_2002.pdf,Excluded,patellar,continuous,tegner,,,,,,,,,,,
,11,☑,"Beynnon et al., 2002",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/beynnon_2002.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/beynnon_2002.pdf,Excluded,patellar,continuous,instrumental laxity,,,,,,,,,,,
54,11,☑,"Beynnon et al., 2002",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/beynnon_2002.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/beynnon_2002.pdf,Included,patellar,dichotomous,pivot shift,22,0,0.11,,,,,,,,
55,11,☑,"Beynnon et al., 2002",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/beynnon_2002.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/beynnon_2002.pdf,Included,patellar,dichotomous,lachman,22,2,0.59,,,,,,,,
,11,☑,"Beynnon et al., 2002",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/beynnon_2002.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/beynnon_2002.pdf,Excluded,hamstring,continuous,ikdc,,,,,,,,,,,
,11,☑,"Beynnon et al., 2002",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/beynnon_2002.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/beynnon_2002.pdf,Excluded,hamstring,continuous,tegner,,,,,,,,,,,
,11,☑,"Beynnon et al., 2002",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/beynnon_2002.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/beynnon_2002.pdf,Excluded,hamstring,continuous,instrumental laxity,,,,,,,,,,,
59,11,☑,"Beynnon et al., 2002",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/beynnon_2002.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/beynnon_2002.pdf,Included,hamstring,dichotomous,pivot shift,22,6,1.91,,,,,,,,
