,id,study,screening,subgroups,outcomes
49,50,leitgeb_2014,Included,"patellar, hamstring","Lachman, Instrumental laxity"
50,51,li_2015,Included,"hamstring, tibialis","Instrumental laxity, Pivot shift, Lachman, IKDC, Tegner, Lysholm"
51,52,lidén_2007,Included,"patellar, hamstring","IKDC, Tegner, Lysholm, Instrumental laxity, Lachman"
52,53,lind_2020,Included,"hamstring, quadriceps","IKDC, Tegner, Instrumental laxity, Pivot shift"
53,54,lucidi_2025,Included,"patellar, hamstring","IKDC, Tegner, Lysholm, Instrumental laxity, Pivot shift, Graft rupture"
54,55,lui_2012,Included,"patellar, hamstring","IKDC, Lysholm, Instrumental laxity, Lachman"
55,56,lund_2014,Included,"patellar, quadriceps","Instrumental laxity, IKDC"
56,57,maletis_2007,Included,"patellar, hamstring","IKDC, Tegner, Lysholm, Instrumental laxity"
57,58,malik_2026,Included,"hamstring, peroneus","Instrumental laxity, Pivot shift, Lachman, IKDC, Lysholm, Tegner"
61,62,matsumoto_2006,Included,"patellar, hamstring","IKDC, Instrumental laxity"
65,66,mohtadi_2016b,Included,"patellar, hamstring","Instrumental laxity, Lachman, Graft rupture"
66,67,mohtadi_chan_2019,Included,"patellar, hamstring","IKDC, Pivot shift, Lachman, Instrumental laxity, Graft rupture"
67,68,moraiti_2010,Included,"patellar, hamstring","IKDC, Tegner, Lysholm, Instrumental laxity, Lachman, Graft rupture"
69,70,noh_2011,Included,"hamstring, Achilles","Lachman, IKDC, Tegner, Lysholm, Instrumental laxity, Pivot shift, Graft rupture"
71,72,oneill_1996,Included,"patellar, hamstring","IKDC, Lysholm, Instrumental laxity"
72,73,papalia_2015,Included,"patellar, hamstring","IKDC, Lysholm"
75,76,pinczewski_2007,Included,"patellar, hamstring","IKDC, Lysholm, Lachman, Pivot shift, Instrumental laxity"
76,77,popovic_2024,Included,"patellar, hamstring","Lysholm, Tegner, Instrumental laxity, Pivot shift, Lachman"
81,82,sajovic_2018,Included,"patellar, hamstring","IKDC, Lysholm, Instrumental laxity, Pivot shift, Lachman"
83,84,sinding_2020,Included,"hamstring, quadriceps",IKDC
84,85,smith_2020,Included,"patellar, hamstring, quadriceps","IKDC, Instrumental laxity, Graft rupture"
85,86,sonnery-cottet_2020,Included,"patellar, hamstring","IKDC, Tegner, Lysholm, Instrumental laxity, Pivot shift, Lachman"
86,87,sonnery-cottet_2026,Included,"patellar, hamstring","IKDC, Tegner, Lysholm, Instrumental laxity, Pivot shift, Graft rupture"
88,89,tang_2023,Included,"hamstring, quadriceps",IKDC
89,90,taylor_2009,Included,"patellar, hamstring","IKDC, Tegner, Lysholm, Instrumental laxity, Pivot shift"
92,93,vilchez-cavazos_2020,Included,"patellar, quadriceps","IKDC, Tegner, Lysholm, Instrumental laxity"
94,95,webster_2001,Included,"patellar, hamstring","IKDC, Instrumental laxity"
95,96,wipfler_2011,Included,"patellar, hamstring","IKDC, Tegner, Lysholm, Instrumental laxity, Pivot shift, Lachman, Graft rupture"
96,97,yadav_2025,Included,"hamstring, quadriceps","Lysholm, Instrumental laxity, Pivot shift, Lachman"
97,98,yoo_2017,Included,"hamstring, tibialis","Tegner, Lysholm, Instrumental laxity, Pivot shift, Lachman"
99,100,zaffagnini_2011,Included,"patellar, hamstring","IKDC, Instrumental laxity"
